Date,Symbol,Open,High,Low,Close,Volume,Market Cap
19-10-2025,BTC,107204.3125,109488.9921875,106157.7890625,108666.7109375,47657008953.0,2174836847185.2197
20-10-2025,BTC,108667.4453125,111711.03125,107485.015625,110588.9296875,63507793085.0,2213307802363.524
21-10-2025,BTC,110587.6328125,113996.34375,107534.75,108476.890625,101194375480.0,2171037816125.8674
22-10-2025,BTC,108491.53125,109115.1328125,106778.0,107688.5859375,80807013218.0,2155260821806.3293
23-10-2025,BTC,107679.4375,111288.59375,107548.4296875,110069.7265625,54944076060.0,2202916560393.6333
24-10-2025,BTC,110069.3515625,111842.53125,109770.1484375,111033.921875,48160816980.0,2222213799404.708
25-10-2025,BTC,111032.6171875,111947.703125,110704.40625,111641.7265625,24707667305.0,2234378297794.902
26-10-2025,BTC,111639.0546875,115260.90625,111268.484375,114472.4453125,41708524143.0,2291031815587.1074
27-10-2025,BTC,114479.8515625,116273.3125,113882.2890625,114119.328125,61761358733.0,2283964588980.8735
28-10-2025,BTC,114129.0859375,116078.984375,112291.6796875,112956.1640625,64528066504.0,2260685223657.1025
29-10-2025,BTC,112921.328125,113642.7265625,109368.71875,110055.3046875,62192043469.0,2202627923469.916
30-10-2025,BTC,110059.1953125,111612.3515625,106376.6875,108305.546875,69673964814.0,2167608571807.8977
31-10-2025,BTC,108304.4140625,111031.8203125,108288.2734375,109556.1640625,60090359560.0,2192638208921.535
01-11-2025,BTC,109558.625,110574.8984375,109372.953125,110064.015625,25871668762.0,2202802262673.57
02-11-2025,BTC,110064.4296875,111167.3125,109523.453125,110639.625,34284209459.0,2214322409621.3804
03-11-2025,BTC,110646.90625,110764.9140625,105336.359375,106547.5234375,72852006359.0,2132423793349.9458
04-11-2025,BTC,106541.421875,107264.8828125,98962.0625,101590.5234375,110967184773.0,2033215248631.0608
05-11-2025,BTC,101579.234375,104534.703125,98989.9140625,103891.8359375,77584934804.0,2079273320865.9568
06-11-2025,BTC,103893.6640625,104147.3046875,100336.8671875,101301.2890625,63932752861.0,2027426561637.632
07-11-2025,BTC,101286.2421875,104052.9140625,99257.0546875,103372.40625,92168030081.0,2068877544513.191
08-11-2025,BTC,103371.703125,103373.5625,101458.0390625,102282.1171875,51446691095.0,2047056686894.9656
09-11-2025,BTC,102278.984375,105418.3671875,101468.875,104719.640625,59679243013.0,2095840861386.099
10-11-2025,BTC,104723.7734375,106564.6953125,104350.6484375,105996.59375,69585887229.0,2121397581419.483
11-11-2025,BTC,105996.859375,107428.2578125,102457.328125,102997.46875,71130078574.0,2061373609928.6565
12-11-2025,BTC,103011.4375,105297.234375,100836.6171875,101663.1875,64347179408.0,2034669534669.7913
13-11-2025,BTC,101674.1484375,104005.4921875,97988.71875,99697.4921875,101546815416.0,1995328447053.5195
14-11-2025,BTC,99694.703125,99804.4296875,94000.734375,94397.7890625,114346441890.0,1889261100982.6343
15-11-2025,BTC,94420.46875,96728.46875,94420.46875,95549.1484375,38500716654.0,1912304209322.7988
16-11-2025,BTC,95556.8671875,96564.1875,92971.1640625,94177.078125,71086235862.0,1884843830271.9392
17-11-2025,BTC,94180.875,95928.3671875,91214.7578125,92093.875,94186165724.0,1843150961523.6875
18-11-2025,BTC,92094.53125,93745.078125,89300.4609375,92948.875,101333569062.0,1860262784346.8965
19-11-2025,BTC,92946.1640625,92946.1640625,88526.828125,91465.9921875,80350354656.0,1830584622995.9236
20-11-2025,BTC,91459.3515625,93025.0703125,86040.796875,86631.8984375,97970645638.0,1733835902807.8748
21-11-2025,BTC,86528.7734375,87380.8046875,80659.8125,85090.6875,129157506112.0,1702990372403.557
22-11-2025,BTC,85098.5625,85503.0078125,83490.8984375,84648.359375,40793099246.0,1694137693450.6653
